metric,A5,v1,wta,mode_pool
spring_boundary_epe_px,1.5418423407526223,1.4080418383139552,1.5162191184527503,1.3589916919888811
spring_high_detail_bad1,0.595623746520467,0.5637003414815295,0.5816585322898578,0.5408469018316528
spring_high_detail_epe_px,3.35490542740516,3.07545492132473,3.2447535305801862,2.937874145802808
spring_low_detail_bad1,0.05246641072018003,0.04884762953292622,0.057644704699631816,0.04279690719783529
spring_low_detail_epe_px,0.3134259540782446,0.29576947781164303,0.3269064014812998,0.2888373746501752
spring_matched_bad1,0.28413346270174084,0.2579814837153132,0.2605890455983654,0.23329359201921776
spring_matched_epe_px,1.4174239451610633,1.279725124174975,1.3247730539133575,1.2381192836576693
spring_unmatched_completion_1px,0.9540800442956225,0.95674073012179,0.9474585766156377,0.9619124316958279
spring_unmatched_completion_2px,0.9833666595437209,0.9847693478020908,0.9811764742740101,0.986203990465321
static_epe_px,0.3954731880476778,0.38483830065127045,0.41350576789820503,0.4008341009808359
static_penalized_epe_px,0.3213332967506746,0.30293328129298713,0.33709606428498856,0.29905710389465273
static_pixels,1.0,1.0,1.0,1.0
temporal_disocclusion_completion_1px,0.8075222143329347,0.8072329404572298,0.8068264121542589,0.8170014232830146
temporal_disocclusion_completion_2px,0.8862424625408557,0.8861495095492925,0.8886636666544292,0.8955700478903186
temporal_disocclusion_current_epe_px,1.017973024743999,1.0240037967619038,1.0243926441290843,1.016590730798578
temporal_large_motion_penalized_delta_epe_px,0.30191097963558067,0.25072727392769417,0.32846109890974806,0.21616643562397098
temporal_matched_common_valid_delta_epe_px,0.4540002468912146,0.4068817859334396,0.46486131415324783,0.39537511056754665
temporal_matched_penalized_delta_epe_px,0.31569367436569595,0.2582750298404227,0.33623561882590386,0.23874050629873753
temporal_medium_motion_penalized_delta_epe_px,0.18704797715907268,0.1386002171986689,0.19953601838547383,0.12361577470392453
temporal_prediction_transport_miss_rate,0.005066429902941253,0.00498589849879773,0.006760405557510515,0.005411518273027734
temporal_small_motion_penalized_delta_epe_px,0.3568289999600065,0.2897734094872344,0.3711279139789652,0.2886944212266856
uncertainty_1sigma_coverage,0.8670720518665476,0.8745534696790634,0.9804477995586155,0.9826300950174437
uncertainty_2sigma_coverage,0.9671933012001017,0.9693019840499937,0.9915536704454254,0.9914546481356525
uncertainty_brier,0.05302855477294157,0.0490936870378639,0.04860449921291879,0.04153334795657052
uncertainty_ece,0.0522886514462862,0.048291030583228645,0.03792523402887342,0.032525850113919064
uncertainty_nll,-2.8176555199763307,-2.8438761131708032,-1.8410817972370774,-1.9185450110473485
validity_confidence_brier_0p1_log_depth,0.05302855477294157,0.0490936870378639,0.04860449921291879,0.04153334795657052
validity_confidence_ece_0p1_log_depth,0.0522886514462862,0.048291030583228645,0.03792523402887342,0.032525850113919064
metric_depth_rmse,2.7133931396505835,2.69189200358267,2.3525257449067043,2.3935867699747226
