metric,v1,residual_none_control,residual_none_guarded,residual_matching_control,residual_matching_guarded,residual_ambiguity_control,residual_ambiguity_guarded
spring_unmatched_completion_1px,0.95674073012179,0.9567136687812305,0.9566958882614278,0.9569985192353632,0.9568669854978101,0.9567523016714449,0.9567072555824953
spring_unmatched_completion_2px,0.9847693478020908,0.9847470910969593,0.9847358100993154,0.9848291573019174,0.984786983045888,0.9847497587012921,0.984743612894625
static_epe_px,0.38483830065127045,0.3840668909931879,0.3828223139745384,0.38402500079854834,0.3824298388616349,0.38383109528391524,0.382794316000549
static_penalized_epe_px,0.30293328129298713,0.3029994261353442,0.30318548873008416,0.30255778824030444,0.3030295208261284,0.3028974791015806,0.30310609736577276
static_pixels,1.0,1.0,1.0,1.0,1.0,1.0,1.0
temporal_disocclusion_completion_1px,0.8072329404572298,0.8072414459597258,0.8071369497862038,0.8071513570659419,0.8071609040585394,0.8072443968483468,0.8071558701897152
temporal_disocclusion_completion_2px,0.8861495095492925,0.8861678224169114,0.8860837220912114,0.886085631489731,0.8860820730652174,0.8861497699218179,0.8860854579080474
temporal_disocclusion_current_epe_px,1.0240037967619038,1.0233953710852912,1.0249807456219977,1.0235781478187236,1.024536774335677,1.023529010617826,1.0249289464699305
temporal_large_motion_penalized_delta_epe_px,0.25072727392769417,0.2510527259388423,0.2508861641379153,0.24902697359400228,0.24997672243357918,0.2502110186784043,0.2505721776157137
temporal_matched_common_valid_delta_epe_px,0.4068817859334396,0.4058707396892753,0.4041098028367874,0.40501382418762066,0.4037311746044833,0.40523612248924634,0.4042247390309726
temporal_matched_penalized_delta_epe_px,0.2582750298404227,0.2586179510413743,0.25932500735605263,0.2576233491474303,0.2593633080742767,0.2579809019262738,0.2591292905608618
temporal_medium_motion_penalized_delta_epe_px,0.1386002171986689,0.138394679230132,0.1383549589685681,0.13671437794350025,0.13706255238868778,0.13694898428859384,0.13806798311117013
temporal_prediction_transport_miss_rate,0.00498589849879773,0.004992477017371548,0.004990452388240416,0.0050049096645989,0.004979366780696289,0.00498427472588653,0.004982087312503649
temporal_small_motion_penalized_delta_epe_px,0.2897734094872344,0.29023871119555783,0.2922030769411564,0.2906924644812118,0.2937002438883979,0.29001170230262724,0.2921757804802241
uncertainty_1sigma_coverage,0.8745534696790634,0.8746067192459799,0.8744633585499151,0.8747643654399929,0.8744815743019331,0.874627929477289,0.8744832228583513
uncertainty_2sigma_coverage,0.9693019840499937,0.9693223879221851,0.969267270787732,0.9693146349285948,0.9692361891280149,0.9693164786040094,0.969269261797899
uncertainty_brier,0.0490936870378639,0.04913029945755894,0.04919153196264453,0.0488794197643754,0.04906526329798875,0.04909171226247561,0.04916179250283544
uncertainty_ece,0.048291030583228645,0.04832793930159821,0.048390336828532075,0.048068947320708204,0.04825949418935749,0.04828813637079338,0.048359867042508956
uncertainty_nll,-2.8438761131708032,-2.8439224805933696,-2.8434497209734064,-2.8446828383707734,-2.8433791320694213,-2.8440553631529073,-2.843476458756744
validity_confidence_brier_0p1_log_depth,0.0490936870378639,0.04913029945755894,0.04919153196264453,0.0488794197643754,0.04906526329798875,0.04909171226247561,0.04916179250283544
validity_confidence_ece_0p1_log_depth,0.048291030583228645,0.04832793930159821,0.048390336828532075,0.048068947320708204,0.04825949418935749,0.04828813637079338,0.048359867042508956
metric_depth_rmse,2.69189200358267,2.6914711677432677,2.6918404795975337,2.6948952180739316,2.6938096702714165,2.69323152192534,2.6921292164380133
epe_at_99pct_coverage_px,0.3133879161655182,0.3137023571821821,0.314026593790664,0.31302089684136386,0.3137776895685198,0.31358315453476515,0.313921524935375
