metric,v1,none_control,none_mild,none_balanced,none_recover,none_protect
good_current_damage_rate,0.015482018153250244,0.016617868716856263,0.013682865360408759,0.009397307688527442,0.018100328593312943,0.012422195746959769
gt_valid_pixels,0.9884998571129573,0.9884998571129573,0.9884998571129573,0.9884998571129573,0.9884998571129573,0.9884998571129573
large_degradation_1px_rate,0.00280314142960865,0.0028745035409508653,0.002389633652571999,0.0018019564364302105,0.0025464939076762084,0.0017501183529870443
large_degradation_5px_excess_mean,0.01332560879584606,0.01291275483961871,0.005999193636097448,0.002697174079797963,0.0032742886232466533,0.0018020012160406946
large_degradation_5px_rate,0.001183098433166143,0.0011905442055166458,0.0008152613735295982,0.0005144780170420667,0.0006133447518013322,0.0004186512251196286
metric_depth_absrel,0.030842524743474205,0.030839840915901858,0.030687079671966593,0.03050774511815461,0.030594620652138516,0.03042635898522198
metric_depth_rmse_squared,7.246282558952321,7.2517596614359,7.251978483227481,7.245704880664591,7.270901724382225,7.239932149087743
new_large_5px_vs_v1_rate,0.0,4.7036604076954224e-05,7.986560088643382e-06,1.399685910481688e-06,1.112790062637217e-05,7.137602867371107e-07
non_rigid_temporal_residual_epe_px,0.40113879589913026,0.40063121478640257,0.40513098761882094,0.4131230265770857,0.40882177326712643,0.41499126011386783
prediction_coverage,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075
prediction_valid_fraction,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075
recoverable_to_1px_rate,0.5053274465157805,0.5131230938819639,0.5029079400367631,0.45216150472351085,0.5600011103257629,0.4525745835455054
rejection_task_failure_rate,0.2654313649164302,0.2665813630338605,0.24838862406090156,0.1637900902121493,0.265436404866932,0.19869886266105236
removed_large_5px_vs_v1_rate,0.0,3.959083172645149e-05,0.0003758236197251882,0.000670020102034558,0.000580881581991183,0.0007651609683332514
rigid_temporal_residual_epe_px,0.2070133529295863,0.20677644824198949,0.2095623452857324,0.21525569173812575,0.21040058764346334,0.21431484430014372
scale_error_log,0.0023643838735119284,0.002362266376662173,0.0023645358759740434,0.0023723278513236106,0.002357754148048816,0.002372168548654497
spring_boundary_bad1,0.31108591258294016,0.31079410579298133,0.3118045856316382,0.3140654717095203,0.3125902806723626,0.3152652487816087
spring_boundary_epe_px,1.4080418383139552,1.4079119103800979,1.4176847507650183,1.4344949593559126,1.4296574435910536,1.4432523917576656
spring_high_detail_bad1,0.5637003414815295,0.5637591538855475,0.5665884161739253,0.5719906407932797,0.5681622103951085,0.5750241395994361
spring_high_detail_epe_px,3.07545492132473,3.0774998173715584,3.1131273229469727,3.162483024547846,3.144804189424892,3.1853705237562595
spring_low_detail_bad1,0.04884762953292622,0.04879074944914543,0.04888442292493689,0.04912933240052009,0.04898089662003605,0.04920782309125139
spring_low_detail_epe_px,0.29576947781164303,0.29564514405255427,0.2963933453189146,0.2979539152260818,0.2974214567655464,0.29843981538149184
spring_matched_bad1,0.2579814837153132,0.2583277639922132,0.25929142273392847,0.2616155702748869,0.25973851698010325,0.26272723706072876
spring_matched_epe_px,1.279725124174975,1.281252705786432,1.2911134106963364,1.3096170293515272,1.3012971157160413,1.318643388074641
spring_unmatched_completion_1px,0.95674073012179,0.956819871857594,0.9567416649413035,0.9565518102566178,0.9566465133686044,0.9564955358062581
