metric,v1,learned_codd_codd,learned_codd_codd_regret,learned_codd_margin01_codd,learned_codd_margin01_codd_regret
metric_depth_absrel,0.030842524743474205,0.031223083932111362,0.03112191641775472,0.03116265571294589,0.03101910797349867
metric_depth_rmse_squared,7.246282558952321,7.335729032958749,7.316706446435076,7.320191685213658,7.295898830160454
new_large_5px_vs_v1_rate,0.0,0.0003773704317114876,0.0002840089956541025,0.00018549615875288494,0.00012547866077034132
non_rigid_temporal_residual_epe_px,0.40113879589913026,0.40288832192017693,0.4044107227374236,0.4083554028017502,0.4111084508333161
opportunity_01_to_02_error_px,0.39563319473964925,0.40830717119872,0.40848855989447624,0.414518245867409,0.415352641960602
opportunity_01_to_02_recovery_rate,0.10956259002168056,0.08536534239755919,0.08115553928324262,0.09733004755943614,0.09740357797381635
opportunity_02_to_1_error_px,0.8359230682726773,0.8502059705840481,0.8525508359153774,0.860485162662279,0.8627979501110794
opportunity_02_to_1_recovery_rate,0.6017090701603588,0.46800706639369005,0.462506934798202,0.4037928725710301,0.3926179994143445
opportunity_1_to_5_error_px,3.3322341463321954,3.1984974909824686,3.214862866779465,3.3164926197429723,3.3286561638923295
opportunity_1_to_5_recovery_rate,0.9112065462101107,0.7459478685980381,0.7403338158506565,0.6978000515319487,0.6922119149978253
opportunity_over_5_error_px,14.39707381978578,13.804703750039975,14.72804248714224,14.823890408026974,15.833224092192204
opportunity_over_5_recovery_rate,0.8743186770452034,0.735652249060191,0.7029339325065894,0.6722859735433732,0.6394837068906982
prediction_coverage,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075
prediction_valid_fraction,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075
recoverable_to_1px_rate,0.5053274465157805,0.5161192483596426,0.5047932982744314,0.4837515272860204,0.47392106681604834
rejection_task_failure_rate,0.2654313649164302,0.07160139090775142,0.0721018283458082,0.04041180546146825,0.037793699409643916
removed_large_5px_vs_v1_rate,0.0,0.00014453944034958555,0.00024737261458528706,0.00022960018226455439,0.0003590552234624005
rigid_temporal_residual_epe_px,0.2070133529295863,0.20822668858717452,0.20884583929708397,0.21354044406244185,0.2157424886610922
scale_error_log,0.0023643838735119284,0.0023640527301893055,0.002361913552558191,0.0023859303100119793,0.0023838035674658884
spring_boundary_bad1,0.31108591258294016,0.30759119442728095,0.3081122468945117,0.3086783614965329,0.30925510242088294
spring_boundary_epe_px,1.4080418383139552,1.3902567807837591,1.3938529940141389,1.3968206980255164,1.4023358333609253
spring_high_detail_bad1,0.5637003414815295,0.555899984846968,0.5572695425503725,0.5583852106408029,0.5604299861630161
spring_high_detail_epe_px,3.07545492132473,3.0384892573207276,3.054935505611198,3.0618487791408984,3.083557290213688
spring_low_detail_bad1,0.04884762953292622,0.04855631613551569,0.04859586747177622,0.048738694761252886,0.04878515303672601
