metric,v1,none_control,none_mild,matching_mild,alignment_mild,ambiguity_mild
prediction_coverage,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075
prediction_valid_fraction,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075
recoverable_to_1px_rate,0.5053274465157805,0.5047978462189409,0.5029079400367631,0.5214641809379336,0.5026264379541966,0.49968438833361273
rejection_task_failure_rate,0.2654313649164302,0.25468530104365517,0.24838862406090156,0.2025221098181497,0.24153191963709986,0.20232703408696404
removed_large_5px_vs_v1_rate,0.0,4.5921229367039125e-05,0.0003758236197251882,0.00039358213471442463,0.0003958128841342548,0.0004068016114456643
rigid_temporal_residual_epe_px,0.2070133529295863,0.20714156687751828,0.2095623452857324,0.2093452610344608,0.2105617531788131,0.21003894230818
scale_error_log,0.0023643838735119284,0.0023630137981054135,0.0023645358759740434,0.0023487861335013613,0.002362942275364598,0.002357370056249845
spring_boundary_bad1,0.31108591258294016,0.31090802141903906,0.3118045856316382,0.3108470742017229,0.3121846670582811,0.31178694158449494
spring_boundary_epe_px,1.4080418383139552,1.4082222367129227,1.4176847507650183,1.4166595635169887,1.4196055819906002,1.4173285072845052
spring_high_detail_bad1,0.5637003414815295,0.5639882972957382,0.5665884161739253,0.566716967876697,0.5668895485376682,0.566892601640609
spring_high_detail_epe_px,3.07545492132473,3.0788597925036725,3.1131273229469727,3.115345839145172,3.115988373063068,3.1147792004246804
spring_low_detail_bad1,0.04884762953292622,0.04880826340168101,0.04888442292493689,0.04867807635449985,0.048942090130032784,0.048865527987178387
spring_low_detail_epe_px,0.29576947781164303,0.29566878496365767,0.2963933453189146,0.29583072002962535,0.2967133501727171,0.296276148358018
spring_matched_bad1,0.2579814837153132,0.2584964060569632,0.25929142273392847,0.25969225107918964,0.25981141433324034,0.2595399591553489
spring_matched_epe_px,1.279725124174975,1.2818429927098187,1.2911134106963364,1.2924573786416402,1.2936175359661024,1.2924197989316346
spring_unmatched_completion_1px,0.95674073012179,0.9568084982201784,0.9567416649413035,0.9569794333369603,0.9567080746022943,0.9567720992117297
spring_unmatched_completion_2px,0.9847693478020908,0.9847837301266346,0.9846800072696114,0.9847394693702944,0.9846633257943719,0.9846973035360624
static_epe_px,0.38483830065127045,0.38449520403188203,0.38055463081984714,0.37994153756942883,0.3807991508041089,0.38059768019932655
static_penalized_epe_px,0.30293328129298713,0.30294370832049605,0.30349930979124873,0.30305474827315987,0.3039693593878345,0.30361138178944425
static_pixels,1.0,1.0,1.0,1.0,1.0,1.0
temporal_disocclusion_completion_1px,0.8072329404572298,0.8070550192315487,0.8070746339617945,0.8072933468831196,0.8049609298007031,0.8071841640041406
temporal_disocclusion_completion_2px,0.8861495095492925,0.886005783915279,0.8860552546951025,0.8861502906668687,0.885152890312953,0.8860857182805727
temporal_disocclusion_current_epe_px,1.0240037967619038,1.02711757727111,1.0247764260391263,1.0224806978977425,1.0377804172518599,1.0240187670176608
temporal_large_motion_penalized_delta_epe_px,0.25072727392769417,0.25069292186602593,0.252448061741017,0.25116258541067393,0.2539978311777523,0.2523777085491085
temporal_matched_common_valid_delta_epe_px,0.4068817859334396,0.4057941286226752,0.4028669226852072,0.4020947904129728,0.4030898601268145,0.4031043000735576
temporal_matched_penalized_delta_epe_px,0.2582750298404227,0.2583494783436863,0.26120512020392045,0.2608983999018664,0.2619290113396249,0.26138364454267576
temporal_medium_motion_penalized_delta_epe_px,0.1386002171986689,0.13794116534235507,0.1368706780018695,0.13611926902056667,0.13659531703473465,0.1370037426096593
temporal_prediction_transport_miss_rate,0.00498589849879773,0.0049996456288579575,0.005002431274366018,0.005007536595461505,0.005047957959974002,0.004988413515487256
temporal_small_motion_penalized_delta_epe_px,0.2897734094872344,0.2901211785118935,0.2951047723764918,0.29613523821160775,0.2949508493675441,0.2956109922651619
uncertainty_1sigma_coverage,0.8745534696790634,0.8745795698313427,0.8746206383980575,0.8747734902395883,0.8744442468433221,0.8745398471875009
uncertainty_2sigma_coverage,0.9693019840499937,0.9693000049858876,0.9692949975953177,0.9693310826635844,0.9692217961155176,0.9692511217042674
uncertainty_brier,0.0490936870378639,0.04904461870058503,0.04916549114551719,0.04897891706646772,0.04930983122414826,0.0492239825399573
uncertainty_ece,0.048291030583228645,0.04824075388093235,0.04836227127458233,0.048169280761956854,0.04850827387373121,0.048421199112120776
uncertainty_nll,-2.8438761131708032,-2.8439982168053817,-2.8438806048888496,-2.8445751859061534,-2.843274866331858,-2.843578670389708
validity_confidence_brier_0p1_log_depth,0.0490936870378639,0.04904461870058503,0.04916549114551719,0.04897891706646772,0.04930983122414826,0.0492239825399573
validity_confidence_ece_0p1_log_depth,0.048291030583228645,0.04824075388093235,0.04836227127458233,0.048169280761956854,0.04850827387373121,0.048421199112120776
metric_depth_rmse,2.69189200358267,2.692592955635566,2.692949773617674,2.6933480114425685,2.6933145817084796,2.693036756370334
epe_at_99pct_coverage_px,0.3133879161655182,0.3133231184573402,0.31446118604579276,0.31393559440624186,0.3147997537307763,0.314364789758593
