metric,A5,v1,no_memory,memory
metric_depth_rmse_squared,7.36250233030285,7.246282558952321,8.703560843123398,7.392705196225936
new_large_5px_vs_v1_rate,0.0,0.0,0.0019146848333597578,0.0017897648540394807
non_rigid_temporal_residual_epe_px,0.46413342103884137,0.40113879589913026,0.4600467981460057,0.4639847503159753
prediction_coverage,0.9985836570319075,0.9985836570319075,0.9999999662007664,0.99999516273321
prediction_valid_fraction,0.9985836570319075,0.9985836570319075,0.9999999662007664,0.99999516273321
recoverable_to_1px_rate,0.0,0.5053274465157805,0.25741836400399154,0.2663837740631352
rejection_task_failure_rate,0.0,0.2654313649164302,0.15709288539834435,0.17551775856206062
removed_large_5px_vs_v1_rate,0.001183098433166143,0.0,0.000984217777894277,0.0009987474719763793
rigid_temporal_residual_epe_px,0.26243125139724166,0.2070133529295863,0.27644730475452106,0.2838509758356807
scale_error_log,0.0024156059048286637,0.0023643838735119284,0.0018433214103408281,0.0031197355323635103
spring_boundary_bad1,0.3344674303039284,0.31108591258294016,0.33604340820030754,0.3414111335351899
spring_boundary_epe_px,1.5418423407526223,1.4080418383139552,1.5298155463926344,1.5284206843400836
spring_high_detail_bad1,0.595623746520467,0.5637003414815295,0.56447374066333,0.5608344419578617
spring_high_detail_epe_px,3.35490542740516,3.07545492132473,3.0536692859537062,3.0266122750151925
spring_low_detail_bad1,0.05246641072018003,0.04884762953292622,0.05196724294193601,0.05582480170828758
spring_low_detail_epe_px,0.3134259540782446,0.29576947781164303,0.3140029610993999,0.3180268444595857
spring_matched_bad1,0.28413346270174084,0.2579814837153132,0.2715717351187211,0.27636668168285505
spring_matched_epe_px,1.4174239451610633,1.279725124174975,1.3402675375056066,1.322945504496256
spring_unmatched_completion_1px,0.9540800442956225,0.95674073012179,0.9542693936724631,0.9505653482075413
spring_unmatched_completion_2px,0.9833666595437209,0.9847693478020908,0.9833650193986734,0.9823381980646023
static_epe_px,0.3954731880476778,0.38483830065127045,0.41878980234257845,0.4174575396632952
static_penalized_epe_px,0.3213332967506746,0.30293328129298713,0.3270410354006573,0.32773795057876914
static_pixels,1.0,1.0,1.0,1.0
temporal_disocclusion_completion_1px,0.8075222143329347,0.8072329404572298,0.8201634740221558,0.814519552371026
temporal_disocclusion_completion_2px,0.8862424625408557,0.8861495095492925,0.8987623886332464,0.8950158883654533
temporal_disocclusion_current_epe_px,1.017973024743999,1.0240037967619038,0.9374086471068674,0.957772619300416
temporal_large_motion_penalized_delta_epe_px,0.30191097963558067,0.25072727392769417,0.3180177276221979,0.32695413662925765
temporal_matched_common_valid_delta_epe_px,0.4540002468912146,0.4068817859334396,0.4829663777394763,0.4875441832181896
temporal_matched_penalized_delta_epe_px,0.31569367436569595,0.2582750298404227,0.3249294499450621,0.33141794700074856
temporal_medium_motion_penalized_delta_epe_px,0.18704797715907268,0.1386002171986689,0.23272350321445232,0.22740186593242512
temporal_prediction_transport_miss_rate,0.005066429902941253,0.00498589849879773,0.003639039913052373,0.003858410005512872
temporal_small_motion_penalized_delta_epe_px,0.3568289999600065,0.2897734094872344,0.35060515041393175,0.35610446869563556
uncertainty_1sigma_coverage,0.8670720518665476,0.8745534696790634,0.9757243457838507,0.9770246092873693
uncertainty_2sigma_coverage,0.9671933012001017,0.9693019840499937,0.9886481611734086,0.9894150606944423
uncertainty_brier,0.05302855477294157,0.0490936870378639,0.0557112099310303,0.05203796618468548
uncertainty_ece,0.0522886514462862,0.048291030583228645,0.047481018061437584,0.03716300255955706
uncertainty_nll,-2.8176555199763307,-2.8438761131708032,-1.553565374479937,-1.5811267091901078
validity_confidence_brier_0p1_log_depth,0.05302855477294157,0.0490936870378639,0.0557112099310303,0.05203796618468548
validity_confidence_ece_0p1_log_depth,0.0522886514462862,0.048291030583228645,0.047481018061437584,0.03716300255955706
metric_depth_rmse,2.7133931396505835,2.69189200358267,2.9501797984399865,2.718952959546365
