metric,A5,v1,late,early_seed,early_state,zero_endpoint_only,zero_causal_each_frame
rigid_temporal_residual_epe_px,0.26243125139724166,0.2070133529295863,0.2672373341671385,0.26901085189690865,0.2660843057994718,0.2623678135928187,0.26392350422593586
scale_error_log,0.0024156059048286637,0.0023643838735119284,0.002708822950035397,0.002639486955473437,0.0026759199467490534,0.0024158889150859646,0.002475158666563762
spring_boundary_bad1,0.3344674303039284,0.31108591258294016,0.33566258329377474,0.3351689126468794,0.3352434601060841,0.3344589800203017,0.33500853859453067
spring_boundary_epe_px,1.5418423407526223,1.4080418383139552,1.5484179262417235,1.5505681637382491,1.5505139368773113,1.5416987616092983,1.5450467563434875
spring_high_detail_bad1,0.595623746520467,0.5637003414815295,0.6034366369460487,0.602229215077765,0.6011951773185946,0.5955297430878151,0.5983066205573134
spring_high_detail_epe_px,3.35490542740516,3.07545492132473,3.424455941146827,3.4198354980487196,3.413826436702429,3.354017225626073,3.3837237939583775
spring_low_detail_bad1,0.05246641072018003,0.04884762953292622,0.05377207990790366,0.05344299475285807,0.05316127779357825,0.052455181659577334,0.053031322252666234
spring_low_detail_epe_px,0.3134259540782446,0.29576947781164303,0.3185281098749711,0.3179550736867663,0.31746740960399644,0.3133674036738566,0.3155702210143669
spring_matched_bad1,0.28413346270174084,0.2579814837153132,0.2897287093944875,0.2897555193416991,0.2879674993469761,0.2840839838910415,0.2891149365284317
spring_matched_epe_px,1.4174239451610633,1.279725124174975,1.4463157437253138,1.4517256929718785,1.443214063224297,1.416911943761485,1.4310539753835008
spring_unmatched_completion_1px,0.9540800442956225,0.95674073012179,0.9529421036609442,0.9533036872168188,0.9535064230406582,0.9540901020271912,0.9537478612345408
spring_unmatched_completion_2px,0.9833666595437209,0.9847693478020908,0.9828115515049349,0.9829195126315097,0.9829565285366194,0.9833713652230293,0.983136529718324
static_epe_px,0.3954731880476778,0.38483830065127045,0.396238833758157,0.3980112646904456,0.3971589327315225,0.3954672881195801,0.39614629998509177
static_penalized_epe_px,0.3213332967506746,0.30293328129298713,0.3257770071069626,0.32568061619217026,0.32552613987714835,0.3212698380695844,0.3234339945293378
static_pixels,1.0,1.0,1.0,1.0,1.0,1.0,1.0
temporal_disocclusion_completion_1px,0.8075222143329347,0.8072329404572298,0.8063477606617558,0.8068669434773775,0.8059373267709042,0.8075479044221062,0.8066977013358759
temporal_disocclusion_completion_2px,0.8862424625408557,0.8861495095492925,0.8850876235999227,0.8854215079683105,0.8844558730624921,0.886280997674613,0.8853802823184577
temporal_disocclusion_current_epe_px,1.017973024743999,1.0240037967619038,1.0362556056487355,1.0331525975162816,1.0375054523991856,1.0176752350697547,1.0256897403272296
temporal_large_motion_penalized_delta_epe_px,0.30191097963558067,0.25072727392769417,0.3033187318587317,0.3050193547339922,0.30211898088616984,0.30189227877365504,0.301931097785401
temporal_matched_common_valid_delta_epe_px,0.4540002468912146,0.4068817859334396,0.45463172650866573,0.45707151235310206,0.453600779774116,0.45400067839062014,0.45432505324679545
temporal_matched_penalized_delta_epe_px,0.31569367436569595,0.2582750298404227,0.3217223075133586,0.3229514098727626,0.3201907196632834,0.31562268134542976,0.31784108612846657
temporal_medium_motion_penalized_delta_epe_px,0.18704797715907268,0.1386002171986689,0.187643832042733,0.18761148928843116,0.1852392153998624,0.18702891650594555,0.18710625000861264
temporal_prediction_transport_miss_rate,0.005066429902941253,0.00498589849879773,0.005627919587696954,0.005565019752821026,0.005564185483530811,0.005059301987517781,0.005259799280791095
temporal_small_motion_penalized_delta_epe_px,0.3568289999600065,0.2897734094872344,0.36977824766911427,0.3706321062672644,0.36797989490081257,0.35668142998606867,0.3620873470556372
uncertainty_1sigma_coverage,0.8670720518665476,0.8745534696790634,0.9905519918265341,0.9902474559440061,0.989836899079349,0.8670848197253723,0.8931776931996427
uncertainty_2sigma_coverage,0.9671933012001017,0.9693019840499937,0.9971798389444475,0.9972852335662243,0.9970864660931487,0.9671742068768068,0.9758830307100106
uncertainty_brier,0.05302855477294157,0.0490936870378639,0.05274868853871752,0.052928072060988186,0.0529830477752504,0.05303562401602652,0.05275463456431471
uncertainty_ece,0.0522886514462862,0.048291030583228645,0.051922887218942296,0.051856161768155405,0.05180052011543648,0.05229787097417175,0.051823112619254506
uncertainty_nll,-2.8176555199763307,-2.8438761131708032,-2.0329572632192847,-2.03522820956347,-2.022249201390062,-2.8175778845594417,-2.8052850569999315
validity_confidence_brier_0p1_log_depth,0.05302855477294157,0.0490936870378639,0.05274868853871752,0.052928072060988186,0.0529830477752504,0.05303562401602652,0.05275463456431471
validity_confidence_ece_0p1_log_depth,0.0522886514462862,0.048291030583228645,0.051922887218942296,0.051856161768155405,0.05180052011543648,0.05229787097417175,0.051823112619254506
metric_depth_rmse,2.7133931396505835,2.69189200358267,2.6914768367694846,2.699152247028554,2.70458275334803,2.713728850211092,2.705999406211983
